110,E14,0,C AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,19.806,19.766,0.118,15.082,15.510,1.205,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.842,N,N
111,E15,0,C AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,19.859,19.766,0.118,14.578,15.510,1.205,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.837,N,N
112,E16,0,C AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.268,20.340,0.076,11.196,10.698,0.520,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.841,N,N
113,E17,0,C AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.332,20.340,0.076,10.739,10.698,0.520,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.851,N,N
114,E18,0,C AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.418,20.340,0.076,10.159,10.698,0.520,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.857,N,N
115,E19,0,C AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.156,21.246,0.079,6.311,5.959,0.308,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.884,N,N
116,E20,0,C AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.302,21.246,0.079,5.741,5.959,0.308,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.889,N,N
117,E21,0,C AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.280,21.246,0.079,5.824,5.959,0.308,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.891,N,N
118,E22,0,C AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.989,21.143,0.142,7.027,6.381,0.593,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.885,N,N
119,E23,0,C AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.170,21.143,0.142,6.255,6.381,0.593,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.891,N,N
120,E24,0,C AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.270,21.143,0.142,5.862,6.381,0.593,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.901,N,N
121,F1,0,,ACTB,STANDARD,VIC,NFQ-MGB,19.982,20.061,0.070,3.125,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,15,Amp,,0.935,N,N
122,F2,0,,ACTB,STANDARD,VIC,NFQ-MGB,20.082,20.061,0.070,3.125,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,15,Amp,,0.954,N,N
123,F3,0,,ACTB,STANDARD,VIC,NFQ-MGB,20.117,20.061,0.070,3.125,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,15,Amp,,0.939,N,N
133,F13,0,,GAPDH,STANDARD,VIC,NFQ-MGB,22.312,22.448,0.119,3.125,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.870,N,N
134,F14,0,,GAPDH,STANDARD,VIC,NFQ-MGB,22.527,22.448,0.119,3.125,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,18,Amp,,0.868,N,N
135,F15,0,,GAPDH,STANDARD,VIC,NFQ-MGB,22.507,22.448,0.119,3.125,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,18,Amp,,0.869,N,N
145,G1,0,A 3450 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.377,18.571,0.170,9.326,8.210,0.976,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.956,N,Y
146,G2,0,A 3450 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.642,18.571,0.170,7.787,8.210,0.976,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.958,N,N
147,G3,0,A 3450 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.694,18.571,0.170,7.516,8.210,0.976,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.963,N,N
148,G4,0,A 3450 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,19.349,19.392,0.063,4.813,4.680,0.199,21.660,0.999,-3.385,97.418,1,0.159,1,3,15,Amp,,0.975,N,N
149,G5,0,A 3450 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,19.361,19.392,0.063,4.775,4.680,0.199,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.973,N,N
150,G6,0,A 3450 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,19.464,19.392,0.063,4.451,4.680,0.199,21.660,0.999,-3.385,97.418,1,0.159,1,3,15,Amp,,0.973,N,N
151,G7,0,A 3450 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.841,18.973,0.119,6.799,6.230,0.512,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.976,N,N
152,G8,0,A 3450 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.073,18.973,0.119,5.807,6.230,0.512,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.975,N,N
153,G9,0,A 3450 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.005,18.973,0.119,6.083,6.230,0.512,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.969,N,N
154,G10,0,A 3450 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.209,19.386,0.156,5.296,4.713,0.511,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.978,N,N
155,G11,0,A 3450 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.448,19.386,0.156,4.502,4.713,0.511,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.984,N,N
156,G12,0,A 3450 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.501,19.386,0.156,4.341,4.713,0.511,21.660,0.999,-3.385,97.418,1,0.159,1,3,15,Amp,,0.970,N,N
157,G13,0,A 3450 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.513,20.524,0.016,9.560,9.489,0.097,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.858,N,N
158,G14,0,A 3450 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.542,20.524,0.016,9.378,9.489,0.097,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.842,N,N
159,G15,0,A 3450 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.517,20.524,0.016,9.530,9.489,0.097,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.847,N,N
160,G16,0,A 3450 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.484,20.674,0.175,9.737,8.652,0.991,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.857,N,N
161,G17,0,A 3450 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.829,20.674,0.175,7.795,8.652,0.991,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.866,N,N
162,G18,0,A 3450 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.709,20.674,0.175,8.424,8.652,0.991,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.863,N,N
163,G19,0,A 3450 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.143,21.284,0.125,6.364,5.824,0.480,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.883,N,N
