156,G12,0,A 3450 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,34.295,34.869,0.544,0.591,0.421,0.155,33.509,0.986,-3.440,95.317,1,0.308,1,3,29,Amp,,0.972,Y
157,G13,0,A 3450 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,34.190,34.428,0.363,0.015,0.013,0.003,27.891,0.989,-3.458,94.619,1,0.287,1,3,28,Amp,,0.939,N
158,G14,0,A 3450 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,34.846,34.428,0.363,0.010,0.013,0.003,27.891,0.989,-3.458,94.619,1,0.287,1,3,28,Amp,,0.930,N
159,G15,0,A 3450 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,34.249,34.428,0.363,0.014,0.013,0.003,27.891,0.989,-3.458,94.619,1,0.287,1,3,29,Amp,,0.945,N
160,G16,0,A 3450 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.152,22.278,0.111,45.674,42.058,3.172,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.978,N
161,G17,0,A 3450 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.323,22.278,0.111,40.760,42.058,3.172,27.891,0.989,-3.458,94.619,1,0.287,1,3,15,Amp,,0.974,N
162,G18,0,A 3450 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.361,22.278,0.111,39.741,42.058,3.172,27.891,0.989,-3.458,94.619,1,0.287,1,3,16,Amp,,0.973,N
163,G19,0,A 3450 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,22.975,23.132,0.144,26.393,23.848,2.311,27.891,0.989,-3.458,94.619,1,0.287,1,3,16,Amp,,0.986,N
164,G20,0,A 3450 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,23.164,23.132,0.144,23.272,23.848,2.311,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.975,N
165,G21,0,A 3450 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,23.257,23.132,0.144,21.879,23.848,2.311,27.891,0.989,-3.458,94.619,1,0.287,1,3,18,Amp,,0.976,N
166,G22,0,A 3450 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,23.663,23.736,0.089,16.700,15.925,0.933,27.891,0.989,-3.458,94.619,1,0.287,1,3,18,Amp,,0.980,N
