135,F15,0,,MAP2,STANDARD,FAM,NFQ-MGB,25.232,25.203,0.037,3.125,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.980,N,N,N,N
145,G1,0,A 3450 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,22,No Amp,,0.000,Y,N,N,N
146,G2,0,A 3450 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,39,No Amp,,0.000,Y,Y,N,N
147,G3,0,A 3450 iPSC,ChAT,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,17,No Amp,,0.000,Y,N,N,N
148,G4,0,A 3450 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,29.758,29.867,0.211,2.262,2.117,0.284,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.961,N,N,N,N
149,G5,0,A 3450 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,29.733,29.867,0.211,2.300,2.117,0.284,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.970,N,N,N,N
150,G6,0,A 3450 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.111,29.867,0.211,1.790,2.117,0.284,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.964,N,N,N,N
151,G7,0,A 3450 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,25.892,26.109,0.201,29.440,25.646,3.474,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.963,N,N,N,N
152,G8,0,A 3450 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.145,26.109,0.201,24.877,25.646,3.474,30.988,0.981,-3.469,94.201,1,0.338,1,3,19,Amp,,0.961,N,N,N,N
153,G9,0,A 3450 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.289,26.109,0.201,22.621,25.646,3.474,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.968,N,N,N,N
154,G10,0,A 3450 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.033,26.251,0.193,26.812,23.325,3.073,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.973,N,N,N,N
155,G11,0,A 3450 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.320,26.251,0.193,22.153,23.325,3.073,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.986,N,N,N,N
156,G12,0,A 3450 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.400,26.251,0.193,21.010,23.325,3.073,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.985,N,N,N,N
157,G13,0,A 3450 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,27.730,27.855,0.108,0.495,0.457,0.032,26.632,0.993,-3.592,89.854,1,0.283,1,3,22,Amp,,0.972,N,N,N,N
158,G14,0,A 3450 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,27.907,27.855,0.108,0.442,0.457,0.032,26.632,0.993,-3.592,89.854,1,0.283,1,3,22,Amp,,0.971,N,N,N,N
159,G15,0,A 3450 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,27.926,27.855,0.108,0.436,0.457,0.032,26.632,0.993,-3.592,89.854,1,0.283,1,3,22,Amp,,0.980,N,N,N,N
160,G16,0,A 3450 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,25.221,25.370,0.168,2.472,2.255,0.239,26.632,0.993,-3.592,89.854,1,0.283,1,3,20,Amp,,0.975,N,N,N,N
