38,B14,FALSE,GM25974,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.974,0.944,1.006,26.924,26.939,0.024,,0.185,0.028,0.016,0.037,TRUE,0.258,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
39,B15,FALSE,GM25974,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.974,0.944,1.006,26.926,26.939,0.024,,0.185,0.028,0.016,0.037,TRUE,0.258,TRUE,3,21,Amp,,0.975,N,N,N,N,N,N,N,N
40,B16,FALSE,GM25952,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.041,0.937,1.155,27.334,27.365,0.035,,0.09,0.094,0.054,#FIELD!,TRUE,0.258,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
41,B17,FALSE,GM25952,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.041,0.937,1.155,27.403,27.365,0.035,,0.09,0.094,0.054,#FIELD!,TRUE,0.258,TRUE,3,22,Amp,,0.99,N,N,N,N,N,N,N,N
42,B18,FALSE,GM25952,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.041,0.937,1.155,27.359,27.365,0.035,,0.09,0.094,0.054,#FIELD!,TRUE,0.258,TRUE,3,22,Amp,,0.991,N,N,N,N,N,N,N,N
43,B19,FALSE,AIW001-02 P4+P7,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.411,0.218,0.774,35.765,35.438,0.379,,1.432,0.571,0.33,1.284,TRUE,0.258,TRUE,3,30,Amp,,0.968,N,N,N,N,N,N,N,N
44,B20,FALSE,AIW001-02 P4+P7,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.411,0.218,0.774,35.023,35.438,0.379,,1.432,0.571,0.33,1.284,TRUE,0.258,TRUE,3,29,Amp,,0.973,N,N,N,N,N,N,N,N
45,B21,FALSE,AIW001-02 P4+P7,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.411,0.218,0.774,35.526,35.438,0.379,,1.432,0.571,0.33,1.284,TRUE,0.258,TRUE,3,29,Amp,,0.963,N,N,N,N,N,N,N,N
46,B22,FALSE,3450-C WT,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.906,1.08,26.325,26.281,0.049,,0.164,0.079,0.046,0.016,TRUE,0.258,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
47,B23,FALSE,3450-C WT,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.906,1.08,26.29,26.281,0.049,,0.164,0.079,0.046,0.016,TRUE,0.258,TRUE,3,20,Amp,,0.986,N,N,N,N,N,N,N,N
48,B24,FALSE,3450-C WT,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.906,1.08,26.228,26.281,0.049,,0.164,0.079,0.046,0.016,TRUE,0.258,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
49,C1,FALSE,Normal,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1,0.948,1.055,24.681,24.685,0.013,,#FIELD!,0.048,0.028,0,TRUE,0.271,TRUE,3,19,Amp,,0.989,N,N,N,N,N,N,N,N
50,C2,FALSE,Normal,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1,0.948,1.055,24.674,24.685,0.013,,#FIELD!,0.048,0.028,0,TRUE,0.271,TRUE,3,18,Amp,,0.993,N,N,N,N,N,N,N,N
51,C3,FALSE,Normal,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1,0.948,1.055,24.699,24.685,0.013,,#FIELD!,0.048,0.028,0,TRUE,0.271,TRUE,3,18,Amp,,0.983,N,N,N,N,N,N,N,N
52,C4,FALSE,fxs,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.089,0.933,1.271,28.512,28.518,0.032,,#FIELD!,0.139,0.08,#FIELD!,TRUE,0.271,TRUE,3,23,Amp,,0.981,N,N,N,N,N,N,N,N
53,C5,FALSE,fxs,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.089,0.933,1.271,28.49,28.518,0.032,,#FIELD!,0.139,0.08,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.983,N,N,N,N,N,N,N,N
54,C6,FALSE,fxs,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.089,0.933,1.271,28.553,28.518,0.032,,#FIELD!,0.139,0.08,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.99,N,N,N,N,N,N,N,N
55,C7,FALSE,GM25953,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.071,0.996,1.151,27.208,27.153,0.05,,#FIELD!,0.065,0.037,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.983,N,N,N,N,N,N,N,N
56,C8,FALSE,GM25953,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.071,0.996,1.151,27.14,27.153,0.05,,#FIELD!,0.065,0.037,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.985,N,N,N,N,N,N,N,N
57,C9,FALSE,GM25953,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.071,0.996,1.151,27.111,27.153,0.05,,#FIELD!,0.065,0.037,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.984,N,N,N,N,N,N,N,N
58,C10,FALSE,GM25975,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.018,0.921,1.125,26.778,26.72,0.074,,#FIELD!,0.09,0.052,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.988,N,N,N,N,N,N,N,N
59,C11,FALSE,GM25975,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.018,0.921,1.125,26.637,26.72,0.074,,#FIELD!,0.09,0.052,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
60,C12,FALSE,GM25975,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.018,0.921,1.125,26.744,26.72,0.074,,#FIELD!,0.09,0.052,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
61,C13,FALSE,GM25974,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.074,1.054,1.094,26.587,26.581,0.008,,#FIELD!,0.017,0.01,#FIELD!,TRUE,0.271,TRUE,3,20,Amp,,0.988,N,N,N,N,N,N,N,N
62,C14,FALSE,GM25974,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.074,1.054,1.094,26.572,26.581,0.008,,#FIELD!,0.017,0.01,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.983,N,N,N,N,N,N,N,N
63,C15,FALSE,GM25974,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.074,1.054,1.094,26.583,26.581,0.008,,#FIELD!,0.017,0.01,#FIELD!,TRUE,0.271,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
64,C16,FALSE,GM25952,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.047,0.941,1.165,27.166,27.138,0.04,,#FIELD!,0.096,0.056,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.978,N,N,N,N,N,N,N,N
65,C17,FALSE,GM25952,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.047,0.941,1.165,27.156,27.138,0.04,,#FIELD!,0.096,0.056,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.974,N,N,N,N,N,N,N,N
66,C18,FALSE,GM25952,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.047,0.941,1.165,27.092,27.138,0.04,,#FIELD!,0.096,0.056,#FIELD!,TRUE,0.271,TRUE,3,22,Amp,,0.977,N,N,N,N,N,N,N,N
