145,G1,FALSE,KYOU-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.434,0.335,0.561,26.034,26.260,0.201,,6.925,0.273,0.158,1.206,TRUE,0.478,TRUE,3,21,Amp,,0.962,N,N,N,N,N,N,N,N
146,G2,FALSE,KYOU-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.434,0.335,0.561,26.418,26.260,0.201,,6.925,0.273,0.158,1.206,TRUE,0.478,TRUE,3,21,Amp,,0.978,N,N,N,N,N,N,Y,N
147,G3,FALSE,KYOU-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,0.434,0.335,0.561,26.330,26.260,0.201,,6.925,0.273,0.158,1.206,TRUE,0.478,TRUE,3,21,Amp,,0.957,N,N,N,N,N,N,N,N
148,G4,FALSE,KYOU-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.337,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N
149,G5,FALSE,KYOU-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.337,TRUE,3,28,No Amp,,0.000,Y,N,N,N,N,N,N,N
150,G6,FALSE,KYOU-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.337,TRUE,3,35,No Amp,,0.000,Y,N,N,N,N,N,N,N
151,G7,FALSE,KYOU-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.635,0.528,0.763,21.089,21.160,0.062,,1.824,0.195,0.112,0.656,TRUE,0.277,TRUE,3,16,Amp,,0.910,N,N,N,N,N,N,N,N
152,G8,FALSE,KYOU-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.635,0.528,0.763,21.182,21.160,0.062,,1.824,0.195,0.112,0.656,TRUE,0.277,TRUE,3,16,Amp,,0.926,N,N,N,N,N,N,N,N
153,G9,FALSE,KYOU-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.635,0.528,0.763,21.207,21.160,0.062,,1.824,0.195,0.112,0.656,TRUE,0.277,TRUE,3,16,Amp,,0.912,N,N,N,N,N,N,N,N
154,G10,FALSE,KYOU-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.222,0.986,1.515,24.870,24.972,0.132,,5.636,0.227,0.131,-0.290,TRUE,0.283,TRUE,3,19,Amp,,0.949,N,N,N,N,N,N,N,N
155,G11,FALSE,KYOU-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.222,0.986,1.515,24.924,24.972,0.132,,5.636,0.227,0.131,-0.290,TRUE,0.283,TRUE,3,19,Amp,,0.955,N,N,N,N,N,N,N,N
156,G12,FALSE,KYOU-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.222,0.986,1.515,25.122,24.972,0.132,,5.636,0.227,0.131,-0.290,TRUE,0.283,TRUE,3,20,Amp,,0.949,N,N,N,N,N,N,N,N
157,G13,FALSE,KYOU-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.799,1.164,25.966,25.971,0.073,,6.635,0.198,0.115,0.052,TRUE,0.300,TRUE,3,20,Amp,,0.932,N,N,N,N,N,N,N,N
